timestamp,side,pos_cmd,mode,pos_act_0,pos_act_1,pos_act_2,pos_act_3,pos_act_4,pos_act_5,angle_act_0,angle_act_1,angle_act_2,angle_act_3,angle_act_4,angle_act_5,force_act_0,force_act_1,force_act_2,force_act_3,force_act_4,force_act_5,current_0,current_1,current_2,current_3,current_4,current_5,err_0,err_1,err_2,err_3,err_4,err_5,status_0,status_1,status_2,status_3,status_4,status_5,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5
1772827299.9861047,l,27,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,9,-5,11,170,165,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827299.9861147,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,42,-15,14,8,293,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,36,40,38,40
1772827300.0374138,l,27,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,10,-4,11,170,164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827300.0374258,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,42,-15,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,36,40,38,40
1772827300.086487,l,27,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,10,-4,11,170,164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,38,38,48,46,44,42
1772827300.0864956,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-16,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,36,38,38,40
1772827300.137106,l,30,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,10,-5,11,170,164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,40,38,48,46,44,42
1772827300.1371155,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-16,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,36,38,38,40
1772827300.187169,l,34,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,10,-4,11,170,164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,40,38,48,46,44,42
1772827300.1871798,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-16,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,38,38,38,38,40
1772827300.237086,l,42,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,9,-5,10,170,165,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,40,38,48,46,44,44
1772827300.237095,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-15,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,38,38,40
1772827300.286996,l,57,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,10,-4,10,170,165,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,40,38,48,46,44,42
1772827300.2870061,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-15,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,40,38,40
1772827300.3375812,l,64,position,79,88,96,86,244,51,998,999,999,998,1000,986,9,10,-5,10,170,165,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,38,38,48,46,44,42
1772827300.3376014,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-15,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,40,38,40
1772827300.3861158,l,72,position,79,88,96,86,244,54,998,999,999,998,1000,984,9,10,-5,11,174,172,0,0,0,0,0,-68,0,0,0,0,0,0,1,1,1,1,1,1,38,38,48,46,44,42
1772827300.3861222,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,43,-16,14,9,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,40,38,40
1772827300.43664,l,76,position,79,88,96,86,244,54,998,999,999,998,1000,984,9,10,-4,11,174,172,0,0,0,0,0,-68,0,0,0,0,0,0,1,1,1,1,1,1,40,38,48,46,44,42
1772827300.436651,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,42,-16,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,38,38,40
1772827300.488402,l,80,position,79,88,96,86,244,62,998,999,999,998,1000,979,9,9,-5,11,182,176,0,0,0,0,0,-25,0,0,0,0,0,0,1,1,1,1,1,1,40,38,48,46,44,44
1772827300.4884107,r,0,position,8,14,135,137,245,51,997,998,999,998,1000,986,42,-16,14,8,294,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,38,36,38,38,38,40
